,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
97,2020-08-05 13:51:48+00:00,True,1,108,True,0,0,True,9,active,7,False,108,,,2020-08-05 14:19:50,2020
98,2020-08-05 08:57:44+00:00,True,1,109,True,0,0,True,10,active,24,False,109,,,2020-08-05 14:19:50,2020
99,2020-08-05 14:16:51+00:00,True,0,110,True,0,0,True,9,active,6,False,110,,,2020-08-05 14:19:50,2020
100,2020-08-05 08:47:21+00:00,True,0,111,True,0,0,True,4,active,11,False,111,,,2020-08-05 14:19:50,2020
101,2020-08-05 13:32:00+00:00,True,0,112,True,0,0,True,8,active,7,False,112,,,2020-08-05 14:19:50,2020
102,2020-08-05 13:55:00+00:00,True,1,113,True,0,0,True,7,active,7,False,113,,,2020-08-05 14:19:50,2020
103,2020-08-05 13:41:04+00:00,True,0,114,True,0,0,True,10,active,5,False,114,,,2020-08-05 14:19:50,2020
104,2020-08-05 13:02:42+00:00,True,0,115,True,0,0,True,18,active,1,False,115,,,2020-08-05 14:19:50,2020
105,2020-08-05 14:15:00+00:00,True,0,116,True,0,0,True,13,active,10,False,116,,,2020-08-05 14:19:50,2020
106,2020-08-05 14:13:48+00:00,True,0,117,True,0,0,True,10,active,9,False,117,,,2020-08-05 14:19:50,2020
107,2020-08-05 13:55:13+00:00,True,0,118,True,0,0,True,16,active,3,False,118,,,2020-08-05 14:19:50,2020
108,2020-08-05 14:12:03+00:00,True,0,119,True,0,0,True,1,active,14,False,119,,,2020-08-05 14:19:50,2020
109,2020-08-05 14:11:50+00:00,True,1,120,True,0,0,True,4,active,10,False,120,,,2020-08-05 14:19:50,2020
110,2020-08-05 14:13:18+00:00,True,0,121,True,0,0,True,1,active,16,False,121,,,2020-08-05 14:19:50,2020
111,2020-08-05 13:52:29+00:00,True,0,122,True,0,0,True,4,active,11,False,122,,,2020-08-05 14:19:50,2020
112,2020-08-05 13:31:26+00:00,True,0,124,True,0,0,True,2,active,13,False,124,,,2020-08-05 14:19:50,2020
113,2020-08-05 12:18:37+00:00,True,2,125,True,0,0,True,0,active,13,False,125,,,2020-08-05 14:19:50,2020
114,2020-08-05 13:16:01+00:00,True,0,126,True,0,0,True,1,active,14,False,126,,,2020-08-05 14:19:50,2020
115,2020-08-05 13:10:45+00:00,True,0,128,True,0,0,True,13,active,6,False,128,,,2020-08-05 14:19:50,2020
116,2020-08-05 13:27:30+00:00,True,0,129,True,0,0,True,14,active,5,False,129,,,2020-08-05 14:19:50,2020
117,2020-08-05 13:50:23+00:00,True,0,130,True,0,0,True,10,active,5,False,130,,,2020-08-05 14:19:50,2020
118,2020-08-05 13:42:22+00:00,True,0,131,True,0,0,True,6,active,12,False,131,,,2020-08-05 14:19:50,2020
119,2020-08-05 13:45:59+00:00,True,1,133,True,0,0,True,8,active,14,False,133,,,2020-08-05 14:19:50,2020
120,2020-08-05 13:55:30+00:00,True,0,135,True,0,0,True,14,active,3,False,135,,,2020-08-05 14:19:50,2020
121,2020-08-05 13:20:48+00:00,True,1,136,True,0,0,True,11,active,7,False,136,,,2020-08-05 14:19:50,2020
122,2020-08-05 14:14:54+00:00,True,0,137,True,0,0,True,2,active,13,False,137,,,2020-08-05 14:19:50,2020
123,2020-08-05 13:49:31+00:00,True,1,138,True,0,0,True,10,active,4,False,138,,,2020-08-05 14:19:50,2020
124,2020-08-05 14:10:31+00:00,True,0,139,True,0,0,True,0,active,19,False,139,,,2020-08-05 14:19:50,2020
125,2020-08-05 14:08:48+00:00,True,0,140,True,0,0,True,12,active,5,False,140,,,2020-08-05 14:19:50,2020
126,2020-08-05 13:13:04+00:00,True,2,141,True,0,0,True,6,active,7,False,141,,,2020-08-05 14:19:50,2020
127,2020-08-05 13:11:57+00:00,True,2,142,True,0,0,True,12,active,9,False,142,,,2020-08-05 14:19:50,2020
128,2020-08-05 13:47:58+00:00,True,1,143,True,0,0,True,15,active,7,False,143,,,2020-08-05 14:19:50,2020
129,2020-08-05 14:05:35+00:00,True,0,144,True,0,0,True,4,active,15,False,144,,,2020-08-05 14:19:50,2020
130,2020-08-05 13:46:54+00:00,True,0,145,True,0,0,True,7,active,12,False,145,,,2020-08-05 14:19:50,2020
131,2020-08-05 13:35:38+00:00,True,2,146,True,0,0,True,8,active,9,False,146,,,2020-08-05 14:19:50,2020
132,2020-08-05 13:15:20+00:00,True,1,149,True,0,0,True,2,active,15,True,149,,,2020-08-05 14:19:50,2020
133,2020-08-05 13:48:12+00:00,True,0,150,True,0,0,True,2,active,17,False,150,,,2020-08-05 14:19:50,2020
134,2020-08-05 14:14:18+00:00,True,0,151,True,0,0,True,11,active,8,False,151,,,2020-08-05 14:19:50,2020
135,2020-08-05 12:12:43+00:00,True,0,152,True,0,0,True,11,active,4,True,152,,,2020-08-05 14:19:50,2020
136,2020-08-05 14:06:16+00:00,True,0,156,True,0,0,True,3,active,12,False,156,,,2020-08-05 14:19:50,2020
137,2020-08-05 13:42:46+00:00,True,2,157,True,0,0,True,6,active,7,False,157,,,2020-08-05 14:19:50,2020
138,2020-08-05 13:57:47+00:00,True,1,159,True,0,0,True,3,active,11,False,159,,,2020-08-05 14:19:50,2020
139,2020-08-05 08:35:50+00:00,True,0,160,True,0,0,True,0,active,14,True,160,,,2020-08-05 14:19:50,2020
140,2020-08-05 14:05:13+00:00,True,0,161,True,0,0,True,0,active,23,True,161,,,2020-08-05 14:19:50,2020
141,2020-08-05 13:28:23+00:00,True,1,162,True,0,0,True,2,active,12,False,162,,,2020-08-05 14:19:50,2020
142,2020-08-05 14:04:18+00:00,True,0,163,True,0,0,True,7,active,12,True,163,,,2020-08-05 14:19:50,2020
143,2020-08-05 13:17:18+00:00,True,2,167,True,0,0,True,12,active,1,False,167,,,2020-08-05 14:19:50,2020
144,2020-08-05 14:12:20+00:00,True,0,169,True,0,0,True,14,active,5,False,169,,,2020-08-05 14:19:50,2020
145,2020-08-05 08:57:29+00:00,True,0,170,True,0,0,True,1,active,13,True,170,,,2020-08-05 14:19:50,2020
146,2020-08-05 12:51:13+00:00,True,0,171,True,0,0,True,5,active,18,True,171,,,2020-08-05 14:19:50,2020
147,2020-08-05 14:10:58+00:00,True,0,173,True,0,0,True,9,active,5,True,173,,,2020-08-05 14:19:50,2020
148,2020-08-05 14:00:24+00:00,True,1,174,True,0,0,True,9,active,5,False,174,,,2020-08-05 14:19:50,2020
149,2020-08-05 13:47:33+00:00,True,0,175,True,0,0,True,0,active,17,True,175,,,2020-08-05 14:19:50,2020
150,2020-08-05 13:07:18+00:00,True,0,176,True,0,0,True,4,active,11,False,176,,,2020-08-05 14:19:50,2020
151,2020-08-05 13:48:58+00:00,True,1,177,True,0,0,True,7,active,11,False,177,,,2020-08-05 14:19:50,2020
152,2020-08-05 14:11:50+00:00,True,0,178,True,0,0,True,15,active,4,False,178,,,2020-08-05 14:19:50,2020
153,2020-08-05 14:15:29+00:00,True,0,179,True,0,0,True,16,active,9,False,179,,,2020-08-05 14:19:50,2020
154,2020-08-05 12:17:15+00:00,True,0,180,True,0,0,True,17,active,2,False,180,,,2020-08-05 14:19:50,2020
155,2020-08-05 12:58:29+00:00,True,0,181,True,0,0,True,14,active,5,False,181,,,2020-08-05 14:19:50,2020
156,2020-08-05 13:57:01+00:00,True,0,182,True,0,0,True,6,active,13,True,182,,,2020-08-05 14:19:50,2020
157,2020-08-05 14:19:38+00:00,True,0,183,True,0,0,True,9,active,10,False,183,,,2020-08-05 14:19:50,2020
158,2020-08-05 13:57:28+00:00,True,0,184,True,0,0,True,12,active,7,False,184,,,2020-08-05 14:19:50,2020
159,2020-08-05 14:14:09+00:00,True,1,185,True,0,0,True,9,active,5,False,185,,,2020-08-05 14:19:50,2020
160,2020-08-05 14:12:36+00:00,True,0,186,True,0,0,True,10,active,5,True,186,,,2020-08-05 14:19:50,2020
161,2020-08-05 12:44:45+00:00,True,0,187,True,0,0,True,14,active,1,False,187,,,2020-08-05 14:19:50,2020
162,2020-08-05 12:03:10+00:00,True,0,188,True,0,0,True,5,active,10,False,188,,,2020-08-05 14:19:50,2020
163,2020-08-05 14:15:29+00:00,True,1,189,True,0,0,True,7,active,15,False,189,,,2020-08-05 14:19:50,2020
164,2020-08-05 14:00:38+00:00,True,2,190,True,0,0,True,10,active,25,True,190,,,2020-08-05 14:19:50,2020
165,2020-08-05 13:10:33+00:00,True,0,191,True,0,0,True,0,active,15,False,191,,,2020-08-05 14:19:50,2020
166,2020-08-05 13:57:58+00:00,True,0,192,True,0,0,True,8,active,11,False,192,,,2020-08-05 14:19:50,2020
167,2020-08-05 12:52:17+00:00,True,1,193,True,0,0,True,11,active,3,True,193,,,2020-08-05 14:19:50,2020
168,2020-08-05 08:50:57+00:00,True,0,194,True,0,0,True,7,active,12,False,194,,,2020-08-05 14:19:50,2020
169,2020-08-05 14:04:21+00:00,True,0,195,True,0,0,True,8,active,15,False,195,,,2020-08-05 14:19:50,2020
170,2020-08-05 08:50:53+00:00,True,0,196,True,0,0,True,0,active,10,True,196,,,2020-08-05 14:19:50,2020
171,2020-08-05 10:03:38+00:00,True,0,197,True,0,0,True,0,active,15,False,197,,,2020-08-05 14:19:50,2020
172,2020-08-05 09:52:59+00:00,True,0,199,True,0,0,True,13,active,2,False,199,,,2020-08-05 14:19:50,2020
173,2020-08-05 13:43:34+00:00,True,1,200,True,0,0,True,17,active,1,False,200,,,2020-08-05 14:19:50,2020
174,2020-08-05 08:20:51+00:00,True,0,201,True,0,0,True,0,active,15,False,201,,,2020-08-05 14:19:50,2020
175,2020-08-05 12:54:02+00:00,True,0,202,True,0,0,True,1,active,14,False,202,,,2020-08-05 14:19:50,2020
176,2020-08-05 12:49:49+00:00,True,0,203,True,0,0,True,5,active,10,False,203,,,2020-08-05 14:19:50,2020
177,2020-08-05 12:56:30+00:00,True,2,204,True,0,0,True,1,active,12,False,204,,,2020-08-05 14:19:50,2020
178,2020-08-05 08:52:20+00:00,True,0,205,True,0,0,True,8,active,7,False,205,,,2020-08-05 14:19:50,2020
179,2020-08-05 14:18:46+00:00,True,0,206,True,0,0,True,7,active,16,False,206,,,2020-08-05 14:19:50,2020
180,2020-08-05 12:27:28+00:00,True,0,208,True,0,0,True,11,active,4,True,208,,,2020-08-05 14:19:50,2020
181,2020-08-05 08:32:12+00:00,True,0,209,True,0,0,True,8,active,7,False,209,,,2020-08-05 14:19:50,2020
182,2020-08-05 09:19:16+00:00,True,0,210,True,0,0,True,2,active,13,False,210,,,2020-08-05 14:19:50,2020
183,2020-08-05 08:27:34+00:00,True,0,211,True,0,0,True,17,active,2,False,211,,,2020-08-05 14:19:50,2020
184,2020-08-05 13:17:04+00:00,True,0,212,True,0,0,True,20,active,13,False,212,,,2020-08-05 14:19:50,2020
185,2020-08-05 13:33:25+00:00,True,0,213,True,0,0,True,6,active,10,True,213,,,2020-08-05 14:19:50,2020
186,2020-08-05 12:44:47+00:00,True,0,214,True,0,0,True,10,active,5,False,214,,,2020-08-05 14:19:50,2020
187,2020-08-05 08:41:07+00:00,True,0,215,True,0,0,True,12,active,3,False,215,,,2020-08-05 14:19:50,2020
188,2020-08-05 08:35:48+00:00,True,0,216,True,0,0,True,12,active,7,False,216,,,2020-08-05 14:19:50,2020
189,2020-08-05 14:00:11+00:00,True,2,217,True,0,0,True,13,active,4,False,217,,,2020-08-05 14:19:50,2020
190,2020-08-05 14:18:08+00:00,True,2,218,True,0,0,True,9,active,4,False,218,,,2020-08-05 14:19:50,2020
191,2020-08-05 03:58:44+00:00,True,0,219,True,0,0,True,10,active,5,False,219,,,2020-08-05 14:19:50,2020
192,2020-08-05 14:11:19+00:00,True,0,221,True,0,0,True,8,active,11,False,221,,,2020-08-05 14:19:50,2020
193,2020-08-05 14:12:58+00:00,True,0,222,True,0,0,True,2,active,12,True,222,,,2020-08-05 14:19:50,2020
194,2020-08-05 13:05:02+00:00,True,0,224,True,0,0,True,7,active,10,False,224,,,2020-08-05 14:19:50,2020
195,2020-08-05 14:07:47+00:00,True,0,225,True,0,0,True,3,active,16,False,225,,,2020-08-05 14:19:50,2020
196,2020-08-05 13:52:07+00:00,True,0,226,True,0,0,True,0,active,15,False,226,,,2020-08-05 14:19:50,2020
197,2020-08-05 14:08:00+00:00,True,0,227,True,0,0,True,10,active,9,False,227,,,2020-08-05 14:19:50,2020
198,2020-08-05 13:35:45+00:00,True,0,228,True,0,0,True,13,active,6,False,228,,,2020-08-05 14:19:50,2020
199,2020-08-05 08:41:18+00:00,True,0,232,True,0,0,True,1,active,10,False,232,,,2020-08-05 14:19:50,2020
200,2020-08-05 13:23:00+00:00,True,0,233,True,0,0,True,1,active,14,False,233,,,2020-08-05 14:19:50,2020
201,2020-08-05 13:42:45+00:00,True,0,234,True,0,0,True,0,active,15,False,234,,,2020-08-05 14:19:50,2020
202,2020-08-05 08:57:22+00:00,True,1,235,True,0,0,True,5,active,9,False,235,,,2020-08-05 14:19:50,2020
203,2020-08-05 14:19:05+00:00,True,0,236,True,0,0,True,9,active,6,False,236,,,2020-08-05 14:19:50,2020
204,2020-08-05 13:48:00+00:00,True,0,239,True,0,0,True,12,active,3,False,239,,,2020-08-05 14:19:50,2020
205,2020-08-05 13:51:14+00:00,True,0,255,True,0,0,True,11,active,4,False,255,,,2020-08-05 14:19:50,2020
206,2020-08-05 13:55:56+00:00,True,0,258,True,0,0,True,13,active,2,False,258,,,2020-08-05 14:19:50,2020
207,2020-08-04 09:01:37+00:00,True,0,259,True,0,0,True,0,active,15,False,259,,,2020-08-05 14:19:50,2020
208,2020-08-05 12:59:47+00:00,True,0,260,True,0,0,True,4,active,11,False,260,,,2020-08-05 14:19:50,2020
209,2020-08-05 14:08:12+00:00,True,0,271,True,0,0,True,4,active,11,False,271,,,2020-08-05 14:19:50,2020
210,2020-08-05 12:22:08+00:00,True,0,272,True,0,0,True,5,active,14,False,272,,,2020-08-05 14:19:50,2020
211,2020-08-05 13:58:31+00:00,True,1,273,True,0,0,True,21,active,18,False,273,,,2020-08-05 14:19:50,2020
212,2020-08-05 14:01:07+00:00,True,0,279,True,0,0,True,8,active,11,False,279,,,2020-08-05 14:19:50,2020
213,2020-08-05 14:11:20+00:00,True,0,280,True,0,0,True,6,active,13,False,280,,,2020-08-05 14:19:50,2020
214,2020-08-05 14:12:36+00:00,True,0,282,True,0,0,True,11,active,4,False,282,,,2020-08-05 14:19:50,2020
215,2020-08-05 13:56:46+00:00,True,0,296,True,0,0,True,6,active,17,False,296,,,2020-08-05 14:19:50,2020
216,2020-08-05 14:13:20+00:00,True,0,318,True,0,0,True,17,active,2,False,318,,,2020-08-05 14:19:50,2020
217,2020-08-05 04:24:02+00:00,True,0,319,True,0,0,True,14,active,11,False,319,,,2020-08-05 14:19:50,2020
218,2020-08-05 11:57:55+00:00,True,0,327,True,0,0,True,9,active,6,False,327,,,2020-08-05 14:19:50,2020
219,2020-08-05 13:40:40+00:00,True,0,328,True,0,0,True,10,active,5,False,328,,,2020-08-05 14:19:50,2020
