,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
222,True,0,active,False,8,331,2020-08-18 22:46:36+00:00,331,7,True,True,0,0,2020-08-18 22:49:10,2020
223,True,0,active,False,10,332,2020-08-18 22:43:15+00:00,332,4,True,True,0,1,2020-08-18 22:49:10,2020
224,True,0,active,False,4,333,2020-08-18 22:30:06+00:00,333,21,True,True,0,0,2020-08-18 22:49:10,2020
225,True,0,active,False,2,334,2020-08-18 22:37:03+00:00,334,17,True,True,0,0,2020-08-18 22:49:10,2020
226,True,0,active,False,15,335,2020-08-18 22:45:58+00:00,335,4,True,True,0,0,2020-08-18 22:49:10,2020
227,True,0,active,False,12,336,2020-08-18 21:08:08+00:00,336,3,True,True,0,0,2020-08-18 22:49:10,2020
228,True,0,active,False,2,337,2020-08-18 21:44:03+00:00,337,13,True,True,0,0,2020-08-18 22:49:10,2020
229,True,0,active,False,9,338,2020-08-18 22:38:46+00:00,338,6,True,True,0,0,2020-08-18 22:49:10,2020
230,True,0,active,False,7,339,2020-08-18 22:28:06+00:00,339,8,True,True,0,0,2020-08-18 22:49:10,2020
231,True,0,active,False,1,340,2020-08-18 19:23:25+00:00,340,18,True,True,0,0,2020-08-18 22:49:10,2020
232,True,0,active,True,3,341,2020-08-18 08:32:50+00:00,341,12,True,True,0,0,2020-08-18 22:49:10,2020
233,True,0,active,False,14,342,2020-08-18 22:48:47+00:00,342,0,True,True,0,1,2020-08-18 22:49:10,2020
234,True,0,active,False,10,343,2020-08-18 21:51:30+00:00,343,4,True,True,0,1,2020-08-18 22:49:10,2020
235,True,0,active,False,8,344,2020-08-18 22:41:36+00:00,344,11,True,True,0,0,2020-08-18 22:49:10,2020
236,True,0,active,False,5,345,2020-08-18 22:44:22+00:00,345,13,True,True,0,1,2020-08-18 22:49:10,2020
237,True,0,active,False,12,346,2020-08-18 22:41:01+00:00,346,3,True,True,0,0,2020-08-18 22:49:10,2020
238,True,0,active,False,6,347,2020-08-18 22:04:27+00:00,347,9,True,True,0,0,2020-08-18 22:49:10,2020
239,True,0,active,False,14,348,2020-08-18 21:30:35+00:00,348,1,True,True,0,0,2020-08-18 22:49:10,2020
240,True,0,active,False,12,349,2020-08-18 08:32:49+00:00,349,5,True,True,0,0,2020-08-18 22:49:10,2020
241,True,0,active,False,4,350,2020-08-18 21:31:55+00:00,350,13,True,True,0,0,2020-08-18 22:49:10,2020
242,True,0,active,False,3,351,2020-08-18 22:17:11+00:00,351,12,True,True,0,0,2020-08-18 22:49:10,2020
243,True,0,active,False,14,352,2020-08-18 22:48:39+00:00,352,1,True,True,0,0,2020-08-18 22:49:10,2020
244,True,0,active,True,6,353,2020-08-18 08:34:23+00:00,353,9,True,True,0,0,2020-08-18 22:49:10,2020
245,True,0,active,False,14,354,2020-08-18 22:48:30+00:00,354,1,True,True,0,0,2020-08-18 22:49:10,2020
246,True,0,active,False,1,355,2020-08-18 18:55:26+00:00,355,16,True,True,0,0,2020-08-18 22:49:10,2020
247,True,0,active,False,23,356,2020-08-18 22:48:03+00:00,356,0,True,True,0,0,2020-08-18 22:49:10,2020
248,True,0,active,False,6,357,2020-08-18 22:19:21+00:00,357,9,True,True,0,0,2020-08-18 22:49:10,2020
249,True,0,active,False,3,358,2020-08-18 22:35:12+00:00,358,16,True,True,0,0,2020-08-18 22:49:10,2020
250,True,0,active,False,13,359,2020-08-18 22:47:50+00:00,359,2,True,True,0,0,2020-08-18 22:49:10,2020
251,True,0,active,False,9,360,2020-08-18 22:31:07+00:00,360,6,True,True,0,0,2020-08-18 22:49:10,2020
252,True,0,active,False,15,361,2020-08-18 22:42:33+00:00,361,4,True,True,0,0,2020-08-18 22:49:10,2020
253,True,0,active,False,5,362,2020-08-18 22:47:35+00:00,362,14,True,True,0,0,2020-08-18 22:49:10,2020
254,True,0,active,False,14,363,2020-08-18 22:44:23+00:00,363,5,True,True,0,0,2020-08-18 22:49:10,2020
255,True,0,active,False,8,364,2020-08-18 22:45:13+00:00,364,11,True,True,0,0,2020-08-18 22:49:10,2020
256,True,0,active,False,19,365,2020-08-18 22:37:59+00:00,365,0,True,True,0,0,2020-08-18 22:49:10,2020
257,True,0,active,False,6,366,2020-08-18 22:39:25+00:00,366,9,True,True,0,0,2020-08-18 22:49:10,2020
258,True,0,active,False,3,367,2020-08-18 21:41:45+00:00,367,16,True,True,0,0,2020-08-18 22:49:10,2020
259,True,0,active,False,13,368,2020-08-18 21:51:46+00:00,368,2,True,True,0,0,2020-08-18 22:49:10,2020
260,True,0,active,False,10,369,2020-08-18 22:19:14+00:00,369,5,True,True,0,0,2020-08-18 22:49:10,2020
261,True,0,active,False,13,370,2020-08-18 22:31:48+00:00,370,6,True,True,0,0,2020-08-18 22:49:10,2020
262,True,0,active,False,13,371,2020-08-18 21:18:35+00:00,371,6,True,True,0,0,2020-08-18 22:49:10,2020
263,True,0,active,False,18,372,2020-08-18 22:47:33+00:00,372,0,True,True,0,1,2020-08-18 22:49:10,2020
264,True,0,active,False,7,373,2020-08-18 13:27:24+00:00,373,8,True,True,0,0,2020-08-18 22:49:10,2020
265,True,0,active,False,15,374,2020-08-18 22:34:24+00:00,374,3,True,True,0,1,2020-08-18 22:49:10,2020
266,True,0,active,False,7,376,2020-08-18 22:28:22+00:00,376,8,True,True,0,0,2020-08-18 22:49:10,2020
267,True,0,active,False,13,377,2020-08-18 22:38:26+00:00,377,6,True,True,0,0,2020-08-18 22:49:10,2020
268,True,0,active,False,18,378,2020-08-18 22:46:59+00:00,378,1,True,True,0,0,2020-08-18 22:49:10,2020
269,True,0,active,False,14,379,2020-08-18 22:09:34+00:00,379,1,True,True,0,0,2020-08-18 22:49:10,2020
270,True,0,active,False,13,380,2020-08-18 22:24:14+00:00,380,4,True,True,0,1,2020-08-18 22:49:10,2020
271,True,0,active,False,13,381,2020-08-18 22:43:54+00:00,381,6,True,True,0,0,2020-08-18 22:49:10,2020
272,True,0,active,True,17,384,2020-08-18 22:35:53+00:00,384,2,True,True,0,0,2020-08-18 22:49:10,2020
273,True,0,active,False,14,385,2020-08-18 22:14:01+00:00,385,0,True,True,1,0,2020-08-18 22:49:10,2020
274,True,0,active,False,17,386,2020-08-18 22:37:45+00:00,386,2,True,True,0,0,2020-08-18 22:49:10,2020
275,True,0,active,False,6,387,2020-08-18 22:39:41+00:00,387,9,True,True,0,0,2020-08-18 22:49:10,2020
276,True,0,active,False,2,388,2020-08-18 21:32:08+00:00,388,9,True,True,0,0,2020-08-18 22:49:10,2020
277,True,0,active,False,9,389,2020-08-18 20:11:12+00:00,389,5,True,True,0,0,2020-08-18 22:49:10,2020
278,True,0,active,False,7,390,2020-08-18 15:43:58+00:00,390,8,True,True,0,0,2020-08-18 22:49:10,2020
279,True,0,active,False,1,391,2020-08-18 13:31:28+00:00,391,14,True,True,0,0,2020-08-18 22:49:10,2020
280,True,0,active,False,11,392,2020-08-18 22:31:34+00:00,392,4,True,True,0,0,2020-08-18 22:49:10,2020
281,True,0,active,False,7,393,2020-08-18 21:41:59+00:00,393,8,True,True,0,0,2020-08-18 22:49:10,2020
282,True,0,active,False,14,394,2020-08-18 22:40:56+00:00,394,0,True,True,0,0,2020-08-18 22:49:10,2020
283,True,0,active,False,4,395,2020-08-18 21:35:53+00:00,395,11,True,True,0,0,2020-08-18 22:49:10,2020
284,True,0,active,False,2,396,2020-08-18 21:20:41+00:00,396,13,True,True,0,0,2020-08-18 22:49:10,2020
285,True,0,active,False,8,397,2020-08-18 20:30:21+00:00,397,6,True,True,0,1,2020-08-18 22:49:10,2020
286,True,0,active,False,8,398,2020-08-18 22:23:28+00:00,398,11,True,True,0,0,2020-08-18 22:49:10,2020
287,True,0,active,False,7,399,2020-08-18 22:37:48+00:00,399,8,True,True,0,0,2020-08-18 22:49:10,2020
288,True,0,active,False,8,400,2020-08-18 21:22:32+00:00,400,19,True,True,0,0,2020-08-18 22:49:10,2020
289,True,0,active,False,3,401,2020-08-18 21:41:26+00:00,401,12,True,True,0,0,2020-08-18 22:49:10,2020
290,True,0,active,False,7,402,2020-08-18 22:45:12+00:00,402,8,True,True,0,0,2020-08-18 22:49:10,2020
291,True,0,active,False,5,403,2020-08-18 22:43:45+00:00,403,9,True,True,0,1,2020-08-18 22:49:10,2020
292,True,0,active,False,7,404,2020-08-18 22:37:18+00:00,404,9,True,True,0,0,2020-08-18 22:49:10,2020
293,True,0,active,False,6,405,2020-08-18 22:22:47+00:00,405,13,True,True,0,0,2020-08-18 22:49:10,2020
294,True,0,active,False,1,406,2020-08-18 21:11:01+00:00,406,18,True,True,0,0,2020-08-18 22:49:10,2020
295,True,0,active,False,18,407,2020-08-18 21:59:03+00:00,407,1,True,True,0,0,2020-08-18 22:49:10,2020
296,True,0,active,False,10,408,2020-08-18 22:27:13+00:00,408,4,True,True,0,1,2020-08-18 22:49:10,2020
297,True,0,active,False,7,409,2020-08-18 22:45:42+00:00,409,12,True,True,0,0,2020-08-18 22:49:10,2020
298,True,0,active,False,13,410,2020-08-18 21:53:12+00:00,410,6,True,True,0,0,2020-08-18 22:49:10,2020
299,True,0,active,False,13,411,2020-08-18 22:12:23+00:00,411,2,True,True,0,0,2020-08-18 22:49:10,2020
300,True,0,active,False,8,412,2020-08-18 22:42:42+00:00,412,11,True,True,0,0,2020-08-18 22:49:10,2020
301,True,0,active,False,14,413,2020-08-18 22:45:34+00:00,413,5,True,True,0,0,2020-08-18 22:49:10,2020
302,True,0,active,False,20,414,2020-08-18 22:19:59+00:00,414,3,True,True,0,0,2020-08-18 22:49:10,2020
303,True,0,active,False,14,415,2020-08-18 22:22:57+00:00,415,5,True,True,0,0,2020-08-18 22:49:10,2020
304,True,0,active,False,10,416,2020-08-18 22:43:53+00:00,416,2,True,True,0,3,2020-08-18 22:49:10,2020
305,True,0,active,False,9,417,2020-08-18 22:47:08+00:00,417,10,True,True,0,0,2020-08-18 22:49:10,2020
306,True,0,active,False,9,419,2020-08-18 22:38:06+00:00,419,6,True,True,0,0,2020-08-18 22:49:10,2020
307,False,0,out_of_service,False,0,420,1970-01-02 00:00:00+00:00,420,0,False,False,0,0,2020-08-18 22:49:10,1970
308,True,0,active,False,0,421,2020-08-17 16:27:03+00:00,421,19,True,True,0,0,2020-08-18 22:49:10,2020
309,True,0,active,False,8,422,2020-08-18 15:24:57+00:00,422,6,True,True,0,1,2020-08-18 22:49:10,2020
310,True,0,active,False,10,423,2020-08-18 21:30:21+00:00,423,9,True,True,0,0,2020-08-18 22:49:10,2020
311,True,0,active,False,17,424,2020-08-18 21:17:04+00:00,424,2,True,True,0,0,2020-08-18 22:49:10,2020
312,True,0,active,False,16,425,2020-08-18 22:46:58+00:00,425,0,True,True,0,0,2020-08-18 22:49:10,2020
313,True,0,active,False,21,426,2020-08-18 22:47:51+00:00,426,6,True,True,0,0,2020-08-18 22:49:10,2020
314,True,0,active,False,18,427,2020-08-18 14:14:07+00:00,427,1,True,True,0,0,2020-08-18 22:49:10,2020
315,True,0,active,False,15,428,2020-08-18 22:34:47+00:00,428,3,True,True,0,1,2020-08-18 22:49:10,2020
316,True,0,active,False,3,430,2020-08-18 22:24:09+00:00,430,16,True,True,0,0,2020-08-18 22:49:10,2020
317,True,0,active,False,14,431,2020-08-18 15:50:09+00:00,431,1,True,True,0,0,2020-08-18 22:49:10,2020
318,True,0,active,False,15,432,2020-08-18 21:19:39+00:00,432,4,True,True,0,0,2020-08-18 22:49:10,2020
319,True,0,active,False,16,433,2020-08-18 08:58:55+00:00,433,3,True,True,0,0,2020-08-18 22:49:10,2020
320,True,0,active,False,19,434,2020-08-18 20:28:47+00:00,434,0,True,True,0,0,2020-08-18 22:49:10,2020
321,True,0,active,False,6,435,2020-08-18 22:40:18+00:00,435,9,True,True,0,0,2020-08-18 22:49:10,2020
322,True,0,active,False,15,436,2020-08-18 20:42:59+00:00,436,0,True,True,0,0,2020-08-18 22:49:10,2020
323,True,0,active,False,15,437,2020-08-18 22:45:20+00:00,437,4,True,True,0,0,2020-08-18 22:49:10,2020
324,True,0,active,False,3,440,2020-08-18 22:29:32+00:00,440,14,True,True,0,0,2020-08-18 22:49:10,2020
325,True,0,active,False,7,441,2020-08-18 22:40:04+00:00,441,11,True,True,0,1,2020-08-18 22:49:10,2020
326,True,0,active,False,0,442,2020-08-18 21:01:08+00:00,442,15,True,True,0,0,2020-08-18 22:49:10,2020
327,True,0,active,False,15,443,2020-08-18 21:44:46+00:00,443,4,True,True,0,0,2020-08-18 22:49:10,2020
328,True,0,active,False,9,445,2020-08-18 22:22:27+00:00,445,10,True,True,0,0,2020-08-18 22:49:10,2020
329,True,0,active,False,7,446,2020-08-18 22:48:45+00:00,446,5,True,True,0,0,2020-08-18 22:49:10,2020
330,True,0,active,False,15,447,2020-08-18 21:44:03+00:00,447,4,True,True,0,0,2020-08-18 22:49:10,2020
331,True,0,active,False,4,448,2020-08-18 08:58:50+00:00,448,7,True,True,0,0,2020-08-18 22:49:10,2020
332,True,0,out_of_service,False,0,449,1970-01-02 00:00:00+00:00,449,0,False,True,0,0,2020-08-18 22:49:10,1970
333,True,0,active,False,4,450,2020-08-18 22:25:51+00:00,450,11,True,True,0,0,2020-08-18 22:49:10,2020
334,True,0,active,False,8,451,2020-08-18 22:09:37+00:00,451,7,True,True,0,0,2020-08-18 22:49:10,2020
335,True,0,active,False,0,452,2020-08-18 22:35:42+00:00,452,15,True,True,0,0,2020-08-18 22:49:10,2020
336,True,0,active,False,8,453,2020-08-18 22:49:08+00:00,453,6,True,True,0,1,2020-08-18 22:49:10,2020
337,True,0,active,False,12,454,2020-08-18 22:39:00+00:00,454,3,True,True,0,0,2020-08-18 22:49:10,2020
338,True,0,active,False,9,455,2020-08-18 22:11:27+00:00,455,3,True,True,0,0,2020-08-18 22:49:10,2020
339,True,0,active,False,18,456,2020-08-18 22:04:42+00:00,456,1,True,True,0,0,2020-08-18 22:49:10,2020
340,True,0,active,False,1,457,2020-08-18 19:45:10+00:00,457,10,True,True,0,0,2020-08-18 22:49:10,2020
341,True,0,active,False,4,458,2020-08-18 22:45:01+00:00,458,5,True,True,0,2,2020-08-18 22:49:10,2020
