,num_bikes_disabled,last_reported,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_ebikes_available,num_docks_disabled,is_returning,station_status,station_id,is_renting,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
46,0,2020-08-10 01:30:30+00:00,54,False,True,6,0,0,True,active,54,True,9,2020-08-10 01:31:35,2020
47,1,2020-08-10 01:26:15+00:00,55,False,True,3,0,0,True,active,55,True,11,2020-08-10 01:31:35,2020
48,0,2020-08-10 01:21:47+00:00,56,True,True,14,0,0,True,active,56,True,4,2020-08-10 01:31:35,2020
49,1,2020-08-10 01:03:40+00:00,57,True,True,9,0,0,True,active,57,True,4,2020-08-10 01:31:35,2020
50,3,2020-08-10 00:22:00+00:00,58,True,True,2,0,0,True,active,58,True,14,2020-08-10 01:31:35,2020
51,0,2020-08-10 01:14:28+00:00,59,True,True,19,0,0,True,active,59,True,0,2020-08-10 01:31:35,2020
52,1,2020-08-10 01:08:17+00:00,60,False,True,9,0,0,True,active,60,True,9,2020-08-10 01:31:35,2020
53,2,2020-08-10 01:13:40+00:00,61,False,True,8,0,0,True,active,61,True,9,2020-08-10 01:31:35,2020
54,2,2020-08-10 00:52:25+00:00,63,False,True,7,0,0,True,active,63,True,6,2020-08-10 01:31:35,2020
55,0,2020-08-10 00:55:38+00:00,64,False,True,17,0,0,True,active,64,True,2,2020-08-10 01:31:35,2020
56,0,2020-08-10 01:08:16+00:00,65,False,True,19,0,0,True,active,65,True,4,2020-08-10 01:31:35,2020
57,0,2020-08-10 01:24:12+00:00,66,False,True,8,0,0,True,active,66,True,7,2020-08-10 01:31:35,2020
58,1,2020-08-10 01:15:24+00:00,67,True,True,20,0,0,True,active,67,True,6,2020-08-10 01:31:35,2020
59,1,2020-08-10 01:26:27+00:00,68,True,True,5,0,0,True,active,68,True,13,2020-08-10 01:31:35,2020
60,0,2020-08-10 01:16:24+00:00,69,True,True,13,0,0,True,active,69,True,6,2020-08-10 01:31:35,2020
61,0,2020-08-10 01:06:49+00:00,70,False,True,10,0,0,True,active,70,True,13,2020-08-10 01:31:35,2020
62,0,2020-08-10 01:03:35+00:00,71,False,True,2,0,0,True,active,71,True,21,2020-08-10 01:31:35,2020
63,0,2020-08-10 01:29:33+00:00,72,False,True,21,0,0,True,active,72,True,2,2020-08-10 01:31:35,2020
64,0,2020-08-10 01:25:29+00:00,73,False,True,3,0,0,True,active,73,True,12,2020-08-10 01:31:35,2020
65,1,2020-08-10 01:23:22+00:00,74,True,True,0,0,0,True,active,74,True,18,2020-08-10 01:31:35,2020
66,0,2020-08-10 01:23:07+00:00,75,False,True,9,0,0,True,active,75,True,6,2020-08-10 01:31:35,2020
67,0,2020-08-10 01:27:23+00:00,76,False,True,10,0,0,True,active,76,True,7,2020-08-10 01:31:35,2020
68,1,2020-08-10 00:26:58+00:00,77,False,True,12,0,0,True,active,77,True,2,2020-08-10 01:31:35,2020
69,0,2020-08-10 00:49:55+00:00,78,False,True,19,0,0,True,active,78,True,0,2020-08-10 01:31:35,2020
70,2,2020-08-10 01:20:44+00:00,79,False,True,2,0,0,True,active,79,True,15,2020-08-10 01:31:35,2020
71,0,2020-08-10 01:23:57+00:00,80,False,True,34,0,0,True,active,80,True,1,2020-08-10 01:31:35,2020
72,0,2020-08-10 01:11:11+00:00,81,False,True,19,0,0,True,active,81,True,0,2020-08-10 01:31:35,2020
73,0,2020-08-10 00:23:32+00:00,82,False,True,12,0,0,True,active,82,True,3,2020-08-10 01:31:35,2020
74,0,2020-08-09 22:38:21+00:00,84,False,True,12,0,0,True,active,84,True,3,2020-08-10 01:31:35,2020
75,0,2020-08-10 00:30:38+00:00,85,False,True,11,0,0,True,active,85,True,8,2020-08-10 01:31:35,2020
76,0,2020-08-10 01:11:40+00:00,86,False,True,17,0,0,True,active,86,True,2,2020-08-10 01:31:35,2020
77,0,2020-08-10 01:26:53+00:00,87,False,True,10,0,0,True,active,87,True,5,2020-08-10 01:31:35,2020
78,0,2020-08-10 01:30:59+00:00,89,False,True,6,0,0,True,active,89,True,13,2020-08-10 01:31:35,2020
79,1,2020-08-10 01:09:52+00:00,90,False,True,0,0,0,True,active,90,True,18,2020-08-10 01:31:35,2020
80,1,2020-08-10 00:48:31+00:00,91,False,True,16,0,0,True,active,91,True,2,2020-08-10 01:31:35,2020
81,0,2020-08-09 23:38:09+00:00,92,False,True,6,0,0,True,active,92,True,13,2020-08-10 01:31:35,2020
82,2,2020-08-10 00:16:49+00:00,93,False,True,2,0,0,True,active,93,True,11,2020-08-10 01:31:35,2020
83,1,2020-08-10 00:27:28+00:00,94,False,True,1,0,0,True,active,94,True,9,2020-08-10 01:31:35,2020
84,2,2020-08-10 01:15:35+00:00,95,False,True,9,0,0,True,active,95,True,4,2020-08-10 01:31:35,2020
85,0,2020-08-10 00:37:15+00:00,96,False,True,2,0,0,True,active,96,True,17,2020-08-10 01:31:35,2020
86,0,2020-08-10 01:18:04+00:00,97,False,True,4,0,0,True,active,97,True,15,2020-08-10 01:31:35,2020
87,0,2020-08-10 01:11:50+00:00,98,False,True,17,0,0,True,active,98,True,6,2020-08-10 01:31:35,2020
88,1,2020-08-10 01:02:43+00:00,99,False,True,12,0,0,True,active,99,True,2,2020-08-10 01:31:35,2020
89,0,2020-08-10 01:30:26+00:00,100,True,True,13,0,0,True,active,100,True,12,2020-08-10 01:31:35,2020
90,0,2020-08-10 01:29:33+00:00,101,False,True,3,0,0,True,active,101,True,12,2020-08-10 01:31:35,2020
91,0,2020-08-10 00:51:00+00:00,102,False,True,9,0,0,True,active,102,True,6,2020-08-10 01:31:35,2020
92,0,2020-08-10 00:33:34+00:00,103,False,True,8,0,0,True,active,103,True,7,2020-08-10 01:31:35,2020
93,0,2020-08-10 00:14:46+00:00,104,False,True,5,0,0,True,active,104,True,14,2020-08-10 01:31:35,2020
94,0,2020-08-10 01:14:53+00:00,105,False,True,16,0,0,True,active,105,True,3,2020-08-10 01:31:35,2020
95,0,2020-08-10 00:24:51+00:00,106,False,True,7,0,0,True,active,106,True,8,2020-08-10 01:31:35,2020
96,0,2020-08-10 01:27:37+00:00,107,False,True,12,0,0,True,active,107,True,7,2020-08-10 01:31:35,2020
97,0,2020-08-10 00:41:28+00:00,108,False,True,14,0,0,True,active,108,True,3,2020-08-10 01:31:35,2020
98,2,2020-08-09 23:28:55+00:00,109,False,True,28,0,0,True,active,109,True,5,2020-08-10 01:31:35,2020
99,0,2020-08-10 01:11:15+00:00,110,False,True,14,0,0,True,active,110,True,1,2020-08-10 01:31:35,2020
100,0,2020-08-10 00:57:33+00:00,111,False,True,12,0,0,True,active,111,True,3,2020-08-10 01:31:35,2020
101,0,2020-08-09 23:55:25+00:00,112,False,True,3,0,0,True,active,112,True,12,2020-08-10 01:31:35,2020
102,1,2020-08-10 01:15:13+00:00,113,False,True,4,0,0,True,active,113,True,10,2020-08-10 01:31:35,2020
103,0,2020-08-10 00:48:48+00:00,114,False,True,13,0,0,True,active,114,True,2,2020-08-10 01:31:35,2020
104,1,2020-08-10 01:21:35+00:00,115,False,True,2,0,0,True,active,115,True,16,2020-08-10 01:31:35,2020
105,0,2020-08-10 01:14:13+00:00,116,False,True,13,0,0,True,active,116,True,10,2020-08-10 01:31:35,2020
106,0,2020-08-10 01:29:45+00:00,117,False,True,8,0,0,True,active,117,True,11,2020-08-10 01:31:35,2020
107,0,2020-08-10 01:30:55+00:00,118,False,True,1,0,0,True,active,118,True,18,2020-08-10 01:31:35,2020
108,0,2020-08-10 00:55:35+00:00,119,False,True,5,0,0,True,active,119,True,10,2020-08-10 01:31:35,2020
109,5,2020-08-10 01:25:21+00:00,120,False,True,2,0,0,True,active,120,True,8,2020-08-10 01:31:35,2020
110,1,2020-08-10 01:18:39+00:00,121,False,True,10,0,0,True,active,121,True,6,2020-08-10 01:31:35,2020
111,0,2020-08-10 01:19:43+00:00,122,False,True,2,0,0,True,active,122,True,13,2020-08-10 01:31:35,2020
112,0,2020-08-09 22:54:45+00:00,124,False,True,3,0,0,True,active,124,True,12,2020-08-10 01:31:35,2020
113,1,2020-08-10 01:23:48+00:00,125,False,True,3,0,0,True,active,125,True,11,2020-08-10 01:31:35,2020
114,0,2020-08-09 23:26:23+00:00,126,False,True,10,0,0,True,active,126,True,5,2020-08-10 01:31:35,2020
115,1,2020-08-10 00:20:13+00:00,128,False,True,6,0,0,True,active,128,True,12,2020-08-10 01:31:35,2020
116,0,2020-08-10 00:47:57+00:00,129,False,True,12,0,0,True,active,129,True,7,2020-08-10 01:31:35,2020
117,0,2020-08-09 22:54:30+00:00,130,False,True,2,0,0,True,active,130,True,13,2020-08-10 01:31:35,2020
118,0,2020-08-10 01:08:46+00:00,131,False,True,2,0,0,True,active,131,True,16,2020-08-10 01:31:35,2020
119,0,2020-08-10 00:49:49+00:00,133,False,True,10,0,0,True,active,133,True,13,2020-08-10 01:31:35,2020
120,1,2020-08-10 00:23:47+00:00,135,False,True,15,0,0,True,active,135,True,1,2020-08-10 01:31:35,2020
121,1,2020-08-09 23:20:04+00:00,136,False,True,9,0,0,True,active,136,True,9,2020-08-10 01:31:35,2020
122,0,2020-08-10 00:58:41+00:00,137,False,True,8,0,0,True,active,137,True,7,2020-08-10 01:31:35,2020
123,2,2020-08-10 00:58:18+00:00,138,False,True,6,0,0,True,active,138,True,7,2020-08-10 01:31:35,2020
124,0,2020-08-10 01:13:06+00:00,139,False,True,5,0,0,True,active,139,True,14,2020-08-10 01:31:35,2020
125,0,2020-08-10 00:38:31+00:00,140,False,True,1,0,0,True,active,140,True,16,2020-08-10 01:31:35,2020
126,0,2020-08-10 00:48:59+00:00,141,False,True,15,0,0,True,active,141,True,0,2020-08-10 01:31:35,2020
127,0,2020-08-10 01:19:38+00:00,142,False,True,11,0,0,True,active,142,True,12,2020-08-10 01:31:35,2020
128,0,2020-08-10 01:15:04+00:00,143,False,True,5,0,0,True,active,143,True,18,2020-08-10 01:31:35,2020
129,0,2020-08-10 00:54:33+00:00,144,False,True,4,0,0,True,active,144,True,15,2020-08-10 01:31:35,2020
130,0,2020-08-10 01:09:37+00:00,145,False,True,6,0,0,True,active,145,True,13,2020-08-10 01:31:35,2020
131,2,2020-08-10 01:22:04+00:00,146,False,True,9,0,0,True,active,146,True,8,2020-08-10 01:31:35,2020
132,0,2020-08-10 01:13:03+00:00,149,True,True,14,0,0,True,active,149,True,4,2020-08-10 01:31:35,2020
133,1,2020-08-10 01:08:35+00:00,150,False,True,12,0,0,True,active,150,True,6,2020-08-10 01:31:35,2020
134,0,2020-08-10 01:20:20+00:00,151,False,True,17,0,0,True,active,151,True,2,2020-08-10 01:31:35,2020
135,0,2020-08-09 23:49:24+00:00,152,True,True,0,0,0,True,active,152,True,15,2020-08-10 01:31:35,2020
136,0,2020-08-10 01:06:26+00:00,156,False,True,15,0,0,True,active,156,True,0,2020-08-10 01:31:35,2020
137,0,2020-08-10 01:19:00+00:00,157,False,True,13,0,0,True,active,157,True,2,2020-08-10 01:31:35,2020
138,1,2020-08-10 01:22:16+00:00,159,False,True,9,0,0,True,active,159,True,5,2020-08-10 01:31:35,2020
139,0,2020-08-10 01:14:08+00:00,160,True,True,7,0,0,True,active,160,True,7,2020-08-10 01:31:35,2020
140,1,2020-08-10 01:27:53+00:00,161,True,True,6,0,0,True,active,161,True,16,2020-08-10 01:31:35,2020
141,0,2020-08-09 21:30:56+00:00,162,False,True,8,0,0,True,active,162,True,7,2020-08-10 01:31:35,2020
142,1,2020-08-10 01:17:26+00:00,163,True,True,7,0,0,True,active,163,True,11,2020-08-10 01:31:35,2020
143,0,2020-08-10 01:29:06+00:00,167,False,True,14,0,0,True,active,167,True,1,2020-08-10 01:31:35,2020
144,0,2020-08-09 20:18:48+00:00,169,False,True,3,0,0,True,active,169,True,16,2020-08-10 01:31:35,2020
145,0,2020-08-09 17:19:21+00:00,170,True,True,14,0,0,True,active,170,True,0,2020-08-10 01:31:35,2020
146,0,2020-08-10 01:29:48+00:00,171,True,True,18,0,0,True,active,171,True,5,2020-08-10 01:31:35,2020
147,0,2020-08-10 00:40:08+00:00,173,True,True,9,0,0,True,active,173,True,5,2020-08-10 01:31:35,2020
148,0,2020-08-10 01:09:24+00:00,174,False,True,14,0,0,True,active,174,True,1,2020-08-10 01:31:35,2020
149,0,2020-08-09 23:59:39+00:00,175,True,True,17,0,0,True,active,175,True,0,2020-08-10 01:31:35,2020
150,0,2020-08-10 01:16:33+00:00,176,False,True,3,0,0,True,active,176,True,12,2020-08-10 01:31:35,2020
151,2,2020-08-10 01:30:07+00:00,177,False,True,4,0,0,True,active,177,True,13,2020-08-10 01:31:35,2020
152,0,2020-08-10 01:31:06+00:00,178,False,True,11,0,0,True,active,178,True,8,2020-08-10 01:31:35,2020
153,0,2020-08-10 01:29:18+00:00,179,False,True,14,0,0,True,active,179,True,11,2020-08-10 01:31:35,2020
154,0,2020-08-10 00:15:17+00:00,180,False,True,10,0,0,True,active,180,True,9,2020-08-10 01:31:35,2020
155,0,2020-08-09 23:44:35+00:00,181,False,True,10,0,0,True,active,181,True,9,2020-08-10 01:31:35,2020
156,0,2020-08-10 00:58:45+00:00,182,True,True,13,0,0,True,active,182,True,6,2020-08-10 01:31:35,2020
157,0,2020-08-10 00:52:13+00:00,183,False,True,13,0,0,True,active,183,True,6,2020-08-10 01:31:35,2020
158,0,2020-08-10 01:30:49+00:00,184,False,True,18,0,0,True,active,184,True,1,2020-08-10 01:31:35,2020
159,0,2020-08-10 01:12:30+00:00,185,False,True,2,0,0,True,active,185,True,13,2020-08-10 01:31:35,2020
160,3,2020-08-10 01:05:53+00:00,186,True,True,7,0,0,True,active,186,True,5,2020-08-10 01:31:35,2020
161,0,2020-08-10 00:37:35+00:00,187,False,True,3,0,0,True,active,187,True,12,2020-08-10 01:31:35,2020
162,0,2020-08-10 01:25:38+00:00,188,False,True,6,0,0,True,active,188,True,9,2020-08-10 01:31:35,2020
163,0,2020-08-10 01:02:46+00:00,189,True,True,14,0,0,True,active,189,True,9,2020-08-10 01:31:35,2020
164,3,2020-08-10 01:17:33+00:00,190,True,True,22,0,0,True,active,190,True,12,2020-08-10 01:31:35,2020
165,0,2020-08-10 00:22:23+00:00,191,False,True,14,0,0,True,active,191,True,1,2020-08-10 01:31:35,2020
166,0,2020-08-10 01:02:34+00:00,192,False,True,17,0,0,True,active,192,True,2,2020-08-10 01:31:35,2020
167,0,2020-08-10 00:53:18+00:00,193,True,True,4,0,0,True,active,193,True,11,2020-08-10 01:31:35,2020
168,0,2020-08-10 00:16:19+00:00,194,False,True,16,0,0,True,active,194,True,3,2020-08-10 01:31:35,2020
169,0,2020-08-10 01:21:13+00:00,195,False,True,11,0,0,True,active,195,True,12,2020-08-10 01:31:35,2020
170,0,2020-08-10 01:28:25+00:00,196,True,True,6,0,0,True,active,196,True,4,2020-08-10 01:31:35,2020
171,0,2020-08-10 00:45:09+00:00,197,False,True,11,0,0,True,active,197,True,4,2020-08-10 01:31:35,2020
172,0,2020-08-09 23:35:16+00:00,199,False,True,13,0,0,True,active,199,True,2,2020-08-10 01:31:35,2020
173,1,2020-08-10 00:02:37+00:00,200,False,True,12,0,0,True,active,200,True,6,2020-08-10 01:31:35,2020
174,0,2020-08-10 01:07:54+00:00,201,False,True,11,0,0,True,active,201,True,4,2020-08-10 01:31:35,2020
175,0,2020-08-10 01:30:00+00:00,202,False,True,8,0,0,True,active,202,True,7,2020-08-10 01:31:35,2020
176,1,2020-08-09 23:26:38+00:00,203,False,True,12,0,0,True,active,203,True,2,2020-08-10 01:31:35,2020
177,0,2020-08-09 21:19:36+00:00,204,False,True,13,0,0,True,active,204,True,2,2020-08-10 01:31:35,2020
178,1,2020-08-09 22:01:29+00:00,205,False,True,8,0,0,True,active,205,True,6,2020-08-10 01:31:35,2020
179,0,2020-08-10 01:08:04+00:00,206,False,True,19,0,0,True,active,206,True,4,2020-08-10 01:31:35,2020
180,0,2020-08-09 22:48:59+00:00,208,True,True,13,0,0,True,active,208,True,2,2020-08-10 01:31:35,2020
181,0,2020-08-10 00:19:03+00:00,209,False,True,3,0,0,True,active,209,True,12,2020-08-10 01:31:35,2020
182,0,2020-08-09 19:39:21+00:00,210,False,True,13,0,0,True,active,210,True,2,2020-08-10 01:31:35,2020
183,1,2020-08-09 22:08:07+00:00,211,False,True,7,0,0,True,active,211,True,11,2020-08-10 01:31:35,2020
184,1,2020-08-10 01:28:41+00:00,212,False,True,10,0,0,True,active,212,True,22,2020-08-10 01:31:35,2020
185,0,2020-08-09 23:32:57+00:00,213,True,True,10,0,0,True,active,213,True,6,2020-08-10 01:31:35,2020
186,0,2020-08-10 01:11:39+00:00,214,False,True,5,0,0,True,active,214,True,10,2020-08-10 01:31:35,2020
187,0,2020-08-10 00:45:02+00:00,215,False,True,6,0,0,True,active,215,True,9,2020-08-10 01:31:35,2020
188,0,2020-08-09 21:47:12+00:00,216,False,True,2,0,0,True,active,216,True,17,2020-08-10 01:31:35,2020
189,0,2020-08-10 01:20:42+00:00,217,False,True,5,0,0,True,active,217,True,14,2020-08-10 01:31:35,2020
190,0,2020-08-10 01:28:08+00:00,218,False,True,14,0,0,True,active,218,True,1,2020-08-10 01:31:35,2020
191,0,2020-08-09 23:32:32+00:00,219,False,True,12,0,0,True,active,219,True,3,2020-08-10 01:31:35,2020
192,1,2020-08-10 00:47:02+00:00,221,False,True,10,0,0,True,active,221,True,8,2020-08-10 01:31:35,2020
193,0,2020-08-10 00:44:21+00:00,222,True,True,5,0,0,True,active,222,True,9,2020-08-10 01:31:35,2020
194,0,2020-08-10 01:00:21+00:00,224,False,True,5,0,0,True,active,224,True,12,2020-08-10 01:31:35,2020
195,1,2020-08-10 01:07:18+00:00,225,False,True,15,0,0,True,active,225,True,3,2020-08-10 01:31:35,2020
196,0,2020-08-10 00:39:16+00:00,226,False,True,12,0,0,True,active,226,True,3,2020-08-10 01:31:35,2020
197,0,2020-08-10 01:05:09+00:00,227,False,True,11,0,0,True,active,227,True,8,2020-08-10 01:31:35,2020
198,1,2020-08-10 01:28:19+00:00,228,False,True,14,0,0,True,active,228,True,4,2020-08-10 01:31:35,2020
199,1,2020-08-09 13:16:48+00:00,232,False,True,7,0,0,True,active,232,True,3,2020-08-10 01:31:35,2020
200,2,2020-08-10 01:29:07+00:00,233,False,True,8,0,0,True,active,233,True,5,2020-08-10 01:31:35,2020
201,0,2020-08-10 01:16:44+00:00,234,False,True,10,0,0,True,active,234,True,5,2020-08-10 01:31:35,2020
202,0,2020-08-10 01:11:50+00:00,235,False,True,11,0,0,True,active,235,True,4,2020-08-10 01:31:35,2020
203,0,2020-08-10 00:47:41+00:00,236,False,True,7,0,0,True,active,236,True,8,2020-08-10 01:31:35,2020
204,0,2020-08-10 01:31:21+00:00,239,False,True,11,0,0,True,active,239,True,4,2020-08-10 01:31:35,2020
205,0,2020-08-09 22:01:27+00:00,255,False,True,4,0,0,True,active,255,True,11,2020-08-10 01:31:35,2020
206,0,2020-08-09 23:58:22+00:00,258,False,True,2,0,0,True,active,258,True,13,2020-08-10 01:31:35,2020
207,0,2020-08-09 16:59:55+00:00,259,False,True,1,0,0,True,active,259,True,14,2020-08-10 01:31:35,2020
208,0,2020-08-09 17:32:05+00:00,260,False,True,0,0,0,True,active,260,True,15,2020-08-10 01:31:35,2020
209,0,2020-08-09 23:53:27+00:00,271,False,True,10,0,0,True,active,271,True,5,2020-08-10 01:31:35,2020
210,1,2020-08-09 20:36:59+00:00,272,False,True,11,0,0,True,active,272,True,7,2020-08-10 01:31:35,2020
211,2,2020-08-10 00:48:30+00:00,273,False,True,16,0,0,True,active,273,True,22,2020-08-10 01:31:35,2020
212,0,2020-08-10 00:08:11+00:00,279,False,True,3,0,0,True,active,279,True,16,2020-08-10 01:31:35,2020
213,0,2020-08-10 00:08:27+00:00,280,False,True,13,0,0,True,active,280,True,6,2020-08-10 01:31:35,2020
214,0,2020-08-10 00:31:39+00:00,282,False,True,3,0,0,True,active,282,True,12,2020-08-10 01:31:35,2020
215,0,2020-08-10 01:20:12+00:00,296,False,True,14,0,0,True,active,296,True,9,2020-08-10 01:31:35,2020
216,0,2020-08-10 01:29:20+00:00,318,False,True,6,0,0,True,active,318,True,13,2020-08-10 01:31:35,2020
217,0,2020-08-10 00:23:02+00:00,319,False,True,18,0,0,True,active,319,True,7,2020-08-10 01:31:35,2020
218,0,2020-08-09 22:52:21+00:00,327,False,True,0,0,0,True,active,327,True,15,2020-08-10 01:31:35,2020
219,1,2020-08-10 01:29:51+00:00,328,False,True,4,0,0,True,active,328,True,10,2020-08-10 01:31:35,2020
220,0,2020-08-10 01:21:01+00:00,329,False,True,11,0,0,True,active,329,True,4,2020-08-10 01:31:35,2020
221,0,2020-08-10 00:20:36+00:00,330,False,True,6,0,0,True,active,330,True,9,2020-08-10 01:31:35,2020
222,0,2020-08-10 01:25:45+00:00,331,False,True,4,0,0,True,active,331,True,11,2020-08-10 01:31:35,2020
223,0,2020-08-10 01:00:13+00:00,332,False,True,3,0,0,True,active,332,True,12,2020-08-10 01:31:35,2020
224,0,2020-08-10 00:20:59+00:00,333,False,True,1,0,0,True,active,333,True,24,2020-08-10 01:31:35,2020
225,0,2020-08-10 00:47:44+00:00,334,False,True,2,0,0,True,active,334,True,17,2020-08-10 01:31:35,2020
226,0,2020-08-10 00:53:00+00:00,335,False,True,7,0,0,True,active,335,True,12,2020-08-10 01:31:35,2020
227,2,2020-08-09 19:26:35+00:00,336,False,True,1,0,0,True,active,336,True,12,2020-08-10 01:31:35,2020
228,0,2020-08-10 01:02:54+00:00,337,False,True,3,0,0,True,active,337,True,12,2020-08-10 01:31:35,2020
229,0,2020-08-10 01:06:27+00:00,338,False,True,10,0,0,True,active,338,True,5,2020-08-10 01:31:35,2020
230,1,2020-08-10 01:08:33+00:00,339,False,True,2,0,0,True,active,339,True,12,2020-08-10 01:31:35,2020
231,0,2020-08-09 08:56:11+00:00,340,False,True,2,0,0,True,active,340,True,17,2020-08-10 01:31:35,2020
232,0,2020-08-10 00:57:49+00:00,341,True,True,11,0,0,True,active,341,True,4,2020-08-10 01:31:35,2020
