,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
245,353,5,0,0,10,0,True,True,True,2020-03-23 08:49:59+00:00,True,,2020-03-23 15:30:55,2020
246,354,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
247,355,1,0,1,15,0,True,True,True,2020-03-23 08:54:42+00:00,False,,2020-03-23 15:30:55,2020
248,356,10,0,0,13,0,True,True,True,2020-03-23 14:10:10+00:00,False,,2020-03-23 15:30:55,2020
249,357,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
250,358,9,0,1,9,0,True,True,True,2020-03-23 10:29:50+00:00,False,,2020-03-23 15:30:55,2020
251,359,5,0,1,9,0,True,True,True,2020-03-23 15:08:57+00:00,False,,2020-03-23 15:30:55,2020
252,360,4,0,1,10,0,True,True,True,2020-03-23 15:05:44+00:00,False,,2020-03-23 15:30:55,2020
253,361,2,0,0,17,0,True,True,True,2020-03-23 08:55:14+00:00,False,,2020-03-23 15:30:55,2020
254,362,9,0,2,8,0,True,True,True,2020-03-23 12:58:54+00:00,False,,2020-03-23 15:30:55,2020
255,363,7,0,1,11,0,True,True,True,2020-03-23 12:21:33+00:00,False,,2020-03-23 15:30:55,2020
256,364,4,0,0,15,0,True,True,True,2020-03-23 15:22:27+00:00,False,,2020-03-23 15:30:55,2020
257,365,0,0,0,19,0,True,False,False,2020-03-23 08:55:18+00:00,False,,2020-03-23 15:30:55,2020
258,366,5,0,0,10,0,True,True,True,2020-03-23 11:49:02+00:00,False,,2020-03-23 15:30:55,2020
259,367,3,0,0,16,0,True,True,True,2020-03-23 08:40:17+00:00,False,,2020-03-23 15:30:55,2020
260,368,0,0,0,15,0,False,False,False,2019-11-06 17:01:13+00:00,False,,2020-03-23 15:30:55,2019
261,369,8,0,1,6,0,True,True,True,2020-03-23 14:37:18+00:00,False,,2020-03-23 15:30:55,2020
262,370,1,0,0,18,0,True,True,True,2020-03-23 12:46:57+00:00,False,,2020-03-23 15:30:55,2020
263,371,2,0,0,17,0,True,True,True,2020-03-23 08:54:39+00:00,False,,2020-03-23 15:30:55,2020
264,372,11,0,1,7,0,True,True,True,2020-03-23 15:08:47+00:00,False,,2020-03-23 15:30:55,2020
265,373,3,0,0,12,0,True,True,True,2020-03-23 08:54:58+00:00,False,,2020-03-23 15:30:55,2020
266,374,3,0,0,16,0,True,True,True,2020-03-23 09:01:11+00:00,True,,2020-03-23 15:30:55,2020
267,376,5,0,0,10,0,True,True,True,2020-03-23 15:26:23+00:00,True,,2020-03-23 15:30:55,2020
268,377,7,0,0,12,0,True,True,True,2020-03-23 14:02:32+00:00,False,,2020-03-23 15:30:55,2020
269,378,6,0,1,12,0,True,True,True,2020-03-23 15:08:29+00:00,False,,2020-03-23 15:30:55,2020
270,379,5,0,0,10,0,True,True,True,2020-03-23 15:21:36+00:00,False,,2020-03-23 15:30:55,2020
271,380,14,0,0,4,0,True,True,True,2020-03-23 14:48:24+00:00,False,,2020-03-23 15:30:55,2020
272,381,16,0,0,3,0,True,True,True,2020-03-23 13:40:32+00:00,False,,2020-03-23 15:30:55,2020
273,384,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-23 15:30:55,1970
274,385,4,0,0,11,0,True,True,True,2020-03-23 14:21:49+00:00,False,,2020-03-23 15:30:55,2020
275,386,16,0,0,3,0,True,True,True,2020-03-23 15:27:13+00:00,False,,2020-03-23 15:30:55,2020
276,387,8,0,1,6,0,True,True,True,2020-03-23 14:24:51+00:00,False,,2020-03-23 15:30:55,2020
277,388,0,0,0,3,0,False,False,False,2020-03-12 09:02:42+00:00,False,,2020-03-23 15:30:55,2020
278,389,14,0,0,0,0,True,True,True,2020-03-23 08:56:08+00:00,False,,2020-03-23 15:30:55,2020
279,390,1,0,0,14,0,True,True,True,2020-03-23 08:55:16+00:00,False,,2020-03-23 15:30:55,2020
280,391,10,0,0,5,0,True,True,True,2020-03-23 08:54:30+00:00,False,,2020-03-23 15:30:55,2020
281,392,7,0,1,7,0,True,True,True,2020-03-23 09:00:48+00:00,False,,2020-03-23 15:30:55,2020
282,393,1,0,0,14,0,True,True,True,2020-03-22 08:59:37+00:00,False,,2020-03-23 15:30:55,2020
283,394,5,0,0,9,0,True,True,True,2020-03-22 18:23:02+00:00,False,,2020-03-23 15:30:55,2020
284,395,1,0,2,12,0,True,True,True,2020-03-23 08:59:46+00:00,False,,2020-03-23 15:30:55,2020
285,396,2,0,0,13,0,True,False,False,2020-03-23 08:54:31+00:00,False,,2020-03-23 15:30:55,2020
286,397,6,0,0,9,0,True,True,True,2020-03-23 08:55:28+00:00,False,,2020-03-23 15:30:55,2020
287,398,5,0,0,14,0,True,True,True,2020-03-23 08:50:52+00:00,False,,2020-03-23 15:30:55,2020
288,399,4,0,0,11,0,True,True,True,2020-03-23 10:38:57+00:00,False,,2020-03-23 15:30:55,2020
289,400,17,0,0,10,0,True,True,True,2020-03-23 08:54:49+00:00,False,,2020-03-23 15:30:55,2020
290,401,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
291,402,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
292,403,12,0,1,2,0,True,True,True,2020-03-23 05:00:12+00:00,False,,2020-03-23 15:30:55,2020
293,404,6,0,0,10,0,True,True,True,2020-03-23 14:37:40+00:00,False,,2020-03-23 15:30:55,2020
294,405,18,0,0,1,0,True,True,True,2020-03-23 08:55:07+00:00,False,,2020-03-23 15:30:55,2020
295,406,1,0,1,13,0,True,True,True,2020-03-22 17:10:31+00:00,False,,2020-03-23 15:30:55,2020
296,407,4,0,0,15,0,True,True,True,2020-03-23 08:54:49+00:00,False,,2020-03-23 15:30:55,2020
297,408,11,0,0,4,0,True,True,True,2020-03-23 12:40:26+00:00,False,,2020-03-23 15:30:55,2020
298,409,8,0,1,10,0,True,True,True,2020-03-23 13:42:56+00:00,False,,2020-03-23 15:30:55,2020
299,410,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
300,411,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
301,412,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
302,413,14,0,0,5,0,True,True,True,2020-03-23 15:16:34+00:00,False,,2020-03-23 15:30:55,2020
303,414,2,0,0,21,0,True,True,True,2020-03-23 15:17:44+00:00,False,,2020-03-23 15:30:55,2020
304,415,8,0,0,11,0,True,True,True,2020-03-23 14:01:51+00:00,False,,2020-03-23 15:30:55,2020
305,416,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
306,417,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
307,419,6,0,0,9,0,True,True,True,2020-03-23 13:44:24+00:00,False,,2020-03-23 15:30:55,2020
308,420,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
309,421,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
310,422,5,0,1,9,0,True,True,True,2020-03-23 08:55:37+00:00,False,,2020-03-23 15:30:55,2020
311,423,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
312,424,12,0,1,6,0,True,True,True,2020-03-23 08:54:52+00:00,False,,2020-03-23 15:30:55,2020
313,425,8,0,0,8,0,True,True,True,2020-03-23 14:23:03+00:00,False,,2020-03-23 15:30:55,2020
314,426,11,0,1,15,0,True,True,True,2020-03-23 14:42:39+00:00,False,,2020-03-23 15:30:55,2020
315,427,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
316,428,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
317,430,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
318,431,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
319,432,3,0,0,16,0,True,True,True,2020-03-23 14:43:32+00:00,False,,2020-03-23 15:30:55,2020
320,433,5,0,0,14,0,True,True,True,2020-03-22 08:59:27+00:00,False,,2020-03-23 15:30:55,2020
321,434,5,0,1,13,0,True,True,True,2020-03-23 09:00:06+00:00,False,,2020-03-23 15:30:55,2020
322,435,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-23 15:30:55,1970
323,436,0,0,0,15,0,True,True,True,2020-03-23 08:59:48+00:00,False,,2020-03-23 15:30:55,2020
324,437,7,0,0,12,0,True,True,True,2020-03-23 12:56:23+00:00,False,,2020-03-23 15:30:55,2020
325,440,11,0,0,6,0,True,True,True,2020-03-23 08:59:50+00:00,False,,2020-03-23 15:30:55,2020
326,441,15,0,1,3,0,True,True,True,2020-03-22 23:14:58+00:00,False,,2020-03-23 15:30:55,2020
327,442,10,0,0,5,0,True,True,True,2020-03-23 09:01:06+00:00,False,,2020-03-23 15:30:55,2020
328,443,6,0,0,13,0,True,True,True,2020-03-23 12:56:34+00:00,False,,2020-03-23 15:30:55,2020
329,445,11,0,0,8,0,True,True,True,2020-03-23 09:00:00+00:00,False,,2020-03-23 15:30:55,2020
330,446,4,0,1,7,0,True,True,True,2020-03-23 15:16:03+00:00,False,,2020-03-23 15:30:55,2020
