,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
250,358,0,0,0,0,0,True,True,True,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
251,359,6,0,0,9,0,True,True,True,2020-03-24 21:03:12+00:00,False,2020-03-24 21:37:33,2020
252,360,10,0,0,5,0,True,True,True,2020-03-24 17:22:21+00:00,False,2020-03-24 21:37:33,2020
253,361,12,0,0,7,0,True,True,True,2020-03-24 19:25:18+00:00,False,2020-03-24 21:37:33,2020
254,362,8,0,1,10,0,True,True,True,2020-03-24 20:12:08+00:00,False,2020-03-24 21:37:33,2020
255,363,8,0,0,11,0,True,True,True,2020-03-24 17:35:52+00:00,False,2020-03-24 21:37:33,2020
256,364,9,0,1,9,0,True,True,True,2020-03-24 11:49:48+00:00,False,2020-03-24 21:37:33,2020
257,365,0,0,0,19,0,True,False,False,2020-03-23 08:55:18+00:00,False,2020-03-24 21:37:33,2020
258,366,5,0,0,10,0,True,True,True,2020-03-24 21:21:42+00:00,False,2020-03-24 21:37:33,2020
259,367,3,0,0,16,0,True,True,True,2020-03-24 08:45:21+00:00,False,2020-03-24 21:37:33,2020
260,368,0,0,0,15,0,False,False,False,2019-11-06 17:01:13+00:00,False,2020-03-24 21:37:33,2019
261,369,5,0,0,10,0,True,True,True,2020-03-24 16:40:00+00:00,False,2020-03-24 21:37:33,2020
262,370,4,0,0,15,0,True,True,True,2020-03-24 21:30:38+00:00,False,2020-03-24 21:37:33,2020
263,371,2,0,0,17,0,True,True,True,2020-03-24 18:21:36+00:00,False,2020-03-24 21:37:33,2020
264,372,10,0,1,8,0,True,True,True,2020-03-24 21:22:07+00:00,False,2020-03-24 21:37:33,2020
265,373,2,0,0,13,0,True,True,True,2020-03-24 11:51:44+00:00,False,2020-03-24 21:37:33,2020
266,374,4,0,0,15,0,True,True,True,2020-03-24 21:13:09+00:00,True,2020-03-24 21:37:33,2020
267,376,4,0,0,11,0,True,True,True,2020-03-24 21:31:01+00:00,True,2020-03-24 21:37:33,2020
268,377,8,0,0,11,0,True,True,True,2020-03-24 21:37:11+00:00,False,2020-03-24 21:37:33,2020
269,378,12,0,0,7,0,True,True,True,2020-03-24 21:17:19+00:00,False,2020-03-24 21:37:33,2020
270,379,5,0,0,10,0,True,True,True,2020-03-24 21:04:16+00:00,False,2020-03-24 21:37:33,2020
271,380,9,0,0,9,0,True,True,True,2020-03-24 21:23:33+00:00,False,2020-03-24 21:37:33,2020
272,381,12,0,1,6,0,True,True,True,2020-03-24 21:01:34+00:00,False,2020-03-24 21:37:33,2020
273,384,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-24 21:37:33,1970
274,385,3,0,1,11,0,True,True,True,2020-03-24 20:57:53+00:00,False,2020-03-24 21:37:33,2020
275,386,13,0,0,6,0,True,True,True,2020-03-24 21:18:32+00:00,False,2020-03-24 21:37:33,2020
276,387,4,0,1,10,0,True,True,True,2020-03-24 20:55:27+00:00,False,2020-03-24 21:37:33,2020
277,388,0,0,0,3,0,False,False,False,2020-03-12 09:02:42+00:00,False,2020-03-24 21:37:33,2020
278,389,14,0,0,0,0,True,True,True,2020-03-23 08:56:08+00:00,False,2020-03-24 21:37:33,2020
279,390,0,0,0,15,0,True,True,True,2020-03-24 19:25:34+00:00,False,2020-03-24 21:37:33,2020
280,391,12,0,0,3,0,True,True,True,2020-03-24 21:02:03+00:00,False,2020-03-24 21:37:33,2020
281,392,7,0,1,7,0,True,True,True,2020-03-23 09:00:48+00:00,False,2020-03-24 21:37:33,2020
282,393,1,0,0,14,0,True,True,True,2020-03-24 08:57:09+00:00,False,2020-03-24 21:37:33,2020
283,394,5,0,0,9,0,True,True,True,2020-03-24 21:10:19+00:00,False,2020-03-24 21:37:33,2020
284,395,2,0,0,13,0,True,True,True,2020-03-24 15:20:42+00:00,False,2020-03-24 21:37:33,2020
285,396,2,0,0,13,0,True,False,False,2020-03-24 08:56:29+00:00,False,2020-03-24 21:37:33,2020
286,397,5,0,0,10,0,True,True,True,2020-03-24 21:10:49+00:00,False,2020-03-24 21:37:33,2020
287,398,8,0,0,11,0,True,True,True,2020-03-24 21:12:54+00:00,False,2020-03-24 21:37:33,2020
288,399,5,0,0,10,0,True,True,True,2020-03-24 20:25:50+00:00,False,2020-03-24 21:37:33,2020
289,400,16,0,0,11,0,True,True,True,2020-03-24 08:56:58+00:00,False,2020-03-24 21:37:33,2020
290,401,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
291,402,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
292,403,15,0,0,0,0,True,True,True,2020-03-24 21:11:24+00:00,False,2020-03-24 21:37:33,2020
293,404,12,0,0,4,0,True,True,True,2020-03-24 20:01:36+00:00,False,2020-03-24 21:37:33,2020
294,405,18,0,0,1,0,True,True,True,2020-03-24 19:23:00+00:00,False,2020-03-24 21:37:33,2020
295,406,1,0,0,14,0,True,True,True,2020-03-24 08:56:06+00:00,False,2020-03-24 21:37:33,2020
296,407,9,0,1,9,0,True,True,True,2020-03-24 21:12:05+00:00,False,2020-03-24 21:37:33,2020
297,408,11,0,1,3,0,True,True,True,2020-03-24 19:51:27+00:00,False,2020-03-24 21:37:33,2020
298,409,10,0,1,8,0,True,True,True,2020-03-24 21:01:23+00:00,False,2020-03-24 21:37:33,2020
299,410,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
300,411,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
301,412,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
302,413,14,0,0,5,0,True,True,True,2020-03-24 20:08:58+00:00,False,2020-03-24 21:37:33,2020
303,414,10,0,0,13,0,True,True,True,2020-03-24 08:55:54+00:00,False,2020-03-24 21:37:33,2020
304,415,6,0,0,13,0,True,True,True,2020-03-24 14:46:11+00:00,False,2020-03-24 21:37:33,2020
305,416,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
306,417,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
307,419,5,0,0,10,0,True,True,True,2020-03-24 20:04:59+00:00,False,2020-03-24 21:37:33,2020
308,420,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
309,421,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
310,422,6,0,0,9,0,True,True,True,2020-03-24 19:55:27+00:00,False,2020-03-24 21:37:33,2020
311,423,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
312,424,12,0,0,7,0,True,True,True,2020-03-24 20:15:30+00:00,False,2020-03-24 21:37:33,2020
313,425,8,0,0,8,0,True,True,True,2020-03-23 14:23:03+00:00,False,2020-03-24 21:37:33,2020
314,426,12,0,0,15,0,True,True,True,2020-03-24 20:50:06+00:00,False,2020-03-24 21:37:33,2020
315,427,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
316,428,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
317,430,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
318,431,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
319,432,3,0,0,16,0,True,True,True,2020-03-23 14:43:32+00:00,False,2020-03-24 21:37:33,2020
320,433,5,0,0,14,0,True,True,True,2020-03-24 17:52:23+00:00,False,2020-03-24 21:37:33,2020
321,434,6,0,2,11,0,True,True,True,2020-03-24 05:00:29+00:00,False,2020-03-24 21:37:33,2020
322,435,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-24 21:37:33,1970
323,436,1,0,0,14,0,True,True,True,2020-03-24 19:07:54+00:00,False,2020-03-24 21:37:33,2020
324,437,8,0,0,11,0,True,True,True,2020-03-24 21:37:19+00:00,False,2020-03-24 21:37:33,2020
325,440,12,0,0,5,0,True,True,True,2020-03-23 19:34:18+00:00,False,2020-03-24 21:37:33,2020
326,441,17,0,0,2,0,True,True,True,2020-03-24 13:42:00+00:00,False,2020-03-24 21:37:33,2020
327,442,10,0,0,5,0,True,True,True,2020-03-23 09:01:06+00:00,False,2020-03-24 21:37:33,2020
328,443,6,0,0,13,0,True,True,True,2020-03-23 12:56:34+00:00,False,2020-03-24 21:37:33,2020
329,445,8,0,0,11,0,True,True,True,2020-03-24 21:35:22+00:00,False,2020-03-24 21:37:33,2020
330,446,3,0,1,8,0,True,True,True,2020-03-24 21:18:21+00:00,False,2020-03-24 21:37:33,2020
