,num_docks_disabled,is_returning,num_ebikes_available,num_bikes_disabled,num_docks_available,is_renting,station_id,eightd_has_available_keys,station_status,legacy_id,last_reported,is_installed,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
220,0,True,0,0,3,True,329,False,active,329,2020-07-29 21:55:40+00:00,True,12,,,2020-07-29 22:30:10,2020
221,0,True,0,0,4,True,330,False,active,330,2020-07-29 22:12:39+00:00,True,11,,,2020-07-29 22:30:10,2020
222,0,True,0,1,5,True,331,False,active,331,2020-07-29 22:27:14+00:00,True,9,,,2020-07-29 22:30:10,2020
223,0,True,0,1,5,True,332,False,active,332,2020-07-29 22:28:19+00:00,True,9,,,2020-07-29 22:30:10,2020
224,0,True,0,0,4,True,333,False,active,333,2020-07-29 22:17:12+00:00,True,21,,,2020-07-29 22:30:10,2020
225,0,True,0,0,10,True,334,False,active,334,2020-07-29 22:12:41+00:00,True,9,,,2020-07-29 22:30:10,2020
226,0,True,0,0,10,True,335,False,active,335,2020-07-29 22:09:10+00:00,True,9,,,2020-07-29 22:30:10,2020
227,0,True,0,0,4,True,336,False,active,336,2020-07-29 21:08:19+00:00,True,11,,,2020-07-29 22:30:10,2020
228,0,True,0,1,1,True,337,False,active,337,2020-07-29 21:15:37+00:00,True,13,,,2020-07-29 22:30:10,2020
229,0,True,0,0,13,True,338,False,active,338,2020-07-29 22:28:33+00:00,True,2,,,2020-07-29 22:30:10,2020
230,0,True,0,0,5,True,339,False,active,339,2020-07-29 21:59:39+00:00,True,10,,,2020-07-29 22:30:10,2020
231,0,True,0,1,5,True,340,False,active,340,2020-07-29 15:27:12+00:00,True,13,,,2020-07-29 22:30:10,2020
232,0,True,0,0,7,True,341,True,active,341,2020-07-29 15:51:22+00:00,True,8,,,2020-07-29 22:30:10,2020
233,0,True,0,0,4,True,342,False,active,342,2020-07-29 22:20:52+00:00,True,11,,,2020-07-29 22:30:10,2020
234,0,True,0,1,10,True,343,False,active,343,2020-07-29 15:29:35+00:00,True,4,,,2020-07-29 22:30:10,2020
235,0,True,0,0,18,True,344,False,active,344,2020-07-29 21:37:22+00:00,True,1,,,2020-07-29 22:30:10,2020
236,0,True,0,1,14,True,345,False,active,345,2020-07-29 22:18:13+00:00,True,4,,,2020-07-29 22:30:10,2020
237,0,True,0,0,13,True,346,False,active,346,2020-07-29 22:29:13+00:00,True,2,,,2020-07-29 22:30:10,2020
238,0,True,0,0,10,True,347,False,active,347,2020-07-29 17:43:34+00:00,True,5,,,2020-07-29 22:30:10,2020
239,0,True,0,2,5,True,348,False,active,348,2020-07-29 21:36:09+00:00,True,8,,,2020-07-29 22:30:10,2020
240,0,True,0,0,14,True,349,True,active,349,2020-07-29 16:21:16+00:00,True,3,,,2020-07-29 22:30:10,2020
241,0,True,0,0,14,True,350,False,active,350,2020-07-29 21:49:50+00:00,True,3,,,2020-07-29 22:30:10,2020
242,0,True,0,0,12,True,351,False,active,351,2020-07-29 22:27:11+00:00,True,3,,,2020-07-29 22:30:10,2020
243,0,True,0,0,9,True,352,False,active,352,2020-07-29 22:29:20+00:00,True,6,,,2020-07-29 22:30:10,2020
244,0,True,0,0,3,True,353,True,active,353,2020-07-29 22:07:04+00:00,True,12,,,2020-07-29 22:30:10,2020
245,0,True,0,0,15,True,354,False,active,354,2020-07-29 22:16:52+00:00,True,0,,,2020-07-29 22:30:10,2020
246,0,True,0,0,5,True,355,False,active,355,2020-07-29 20:24:25+00:00,True,12,,,2020-07-29 22:30:10,2020
247,0,True,0,0,11,True,356,False,active,356,2020-07-29 22:24:56+00:00,True,12,,,2020-07-29 22:30:10,2020
248,0,True,0,1,1,True,357,False,active,357,2020-07-29 22:19:51+00:00,True,13,,,2020-07-29 22:30:10,2020
249,0,True,0,0,13,True,358,False,active,358,2020-07-29 22:18:33+00:00,True,6,,,2020-07-29 22:30:10,2020
250,0,True,0,0,15,True,359,False,active,359,2020-07-29 22:13:41+00:00,True,0,,,2020-07-29 22:30:10,2020
251,0,True,0,0,10,True,360,False,active,360,2020-07-29 22:29:20+00:00,True,5,,,2020-07-29 22:30:10,2020
252,0,True,0,0,8,True,361,False,active,361,2020-07-29 22:29:37+00:00,True,11,,,2020-07-29 22:30:10,2020
253,0,True,0,0,1,True,362,False,active,362,2020-07-29 22:26:13+00:00,True,18,,,2020-07-29 22:30:10,2020
254,0,True,0,0,5,True,363,False,active,363,2020-07-29 21:58:07+00:00,True,14,,,2020-07-29 22:30:10,2020
255,0,True,0,2,7,True,364,False,active,364,2020-07-29 22:21:31+00:00,True,10,,,2020-07-29 22:30:10,2020
256,0,True,0,0,15,True,365,False,active,365,2020-07-29 22:18:30+00:00,True,4,,,2020-07-29 22:30:10,2020
257,0,True,0,0,11,True,366,False,active,366,2020-07-29 22:19:22+00:00,True,4,,,2020-07-29 22:30:10,2020
258,0,True,0,1,2,True,367,False,active,367,2020-07-29 22:29:08+00:00,True,16,,,2020-07-29 22:30:10,2020
259,0,True,0,0,13,True,368,False,active,368,2020-07-29 21:55:18+00:00,True,2,,,2020-07-29 22:30:10,2020
260,0,True,0,0,8,True,369,False,active,369,2020-07-29 22:29:17+00:00,True,7,,,2020-07-29 22:30:10,2020
261,0,True,0,1,2,True,370,False,active,370,2020-07-29 22:27:35+00:00,True,16,,,2020-07-29 22:30:10,2020
262,0,True,0,0,10,True,371,False,active,371,2020-07-29 22:29:40+00:00,True,9,,,2020-07-29 22:30:10,2020
263,0,True,0,0,5,True,372,False,active,372,2020-07-29 22:29:19+00:00,True,14,,,2020-07-29 22:30:10,2020
264,0,True,0,0,8,True,373,False,active,373,2020-07-29 21:54:14+00:00,True,7,,,2020-07-29 22:30:10,2020
265,0,True,0,0,14,True,374,False,active,374,2020-07-29 22:27:53+00:00,True,5,,,2020-07-29 22:30:10,2020
266,0,True,0,0,4,True,376,False,active,376,2020-07-29 22:25:33+00:00,True,11,,,2020-07-29 22:30:10,2020
267,0,True,0,0,5,True,377,False,active,377,2020-07-29 22:26:01+00:00,True,14,,,2020-07-29 22:30:10,2020
268,0,True,0,0,11,True,378,False,active,378,2020-07-29 22:21:39+00:00,True,8,,,2020-07-29 22:30:10,2020
269,0,True,0,0,8,True,379,False,active,379,2020-07-29 22:23:31+00:00,True,7,,,2020-07-29 22:30:10,2020
270,0,True,0,1,15,True,380,False,active,380,2020-07-29 22:28:16+00:00,True,2,,,2020-07-29 22:30:10,2020
271,0,True,0,1,6,True,381,False,active,381,2020-07-29 22:25:08+00:00,True,12,,,2020-07-29 22:30:10,2020
272,0,True,0,1,11,True,384,True,active,384,2020-07-29 22:22:25+00:00,True,7,,,2020-07-29 22:30:10,2020
273,1,True,0,0,11,True,385,False,active,385,2020-07-29 22:07:36+00:00,True,3,,,2020-07-29 22:30:10,2020
274,0,True,0,0,11,True,386,False,active,386,2020-07-29 22:23:51+00:00,True,8,,,2020-07-29 22:30:10,2020
275,0,True,0,0,4,True,387,False,active,387,2020-07-29 21:13:19+00:00,True,11,,,2020-07-29 22:30:10,2020
276,0,True,0,0,8,True,388,False,active,388,2020-07-29 08:59:07+00:00,True,3,,,2020-07-29 22:30:10,2020
277,0,True,0,0,5,True,389,False,active,389,2020-07-29 17:16:59+00:00,True,9,,,2020-07-29 22:30:10,2020
278,0,True,0,0,0,True,390,False,active,390,2020-07-29 10:46:04+00:00,True,15,,,2020-07-29 22:30:10,2020
279,0,True,0,0,3,True,391,False,active,391,2020-07-29 21:59:13+00:00,True,12,,,2020-07-29 22:30:10,2020
280,0,True,0,0,9,True,392,False,active,392,2020-07-29 21:40:08+00:00,True,6,,,2020-07-29 22:30:10,2020
281,0,True,0,0,9,True,393,False,active,393,2020-07-28 16:21:03+00:00,True,6,,,2020-07-29 22:30:10,2020
282,0,True,0,0,14,True,394,False,active,394,2020-07-29 21:46:59+00:00,True,0,,,2020-07-29 22:30:10,2020
283,0,True,0,0,9,True,395,False,active,395,2020-07-29 14:45:26+00:00,True,6,,,2020-07-29 22:30:10,2020
284,0,True,0,0,6,True,396,False,active,396,2020-07-29 17:56:52+00:00,True,9,,,2020-07-29 22:30:10,2020
285,0,True,0,0,6,True,397,False,active,397,2020-07-29 16:43:59+00:00,True,9,,,2020-07-29 22:30:10,2020
286,0,True,0,0,14,True,398,False,active,398,2020-07-29 22:29:37+00:00,True,5,,,2020-07-29 22:30:10,2020
287,0,True,0,0,15,True,399,False,active,399,2020-07-29 21:59:49+00:00,True,0,,,2020-07-29 22:30:10,2020
288,0,True,0,0,16,True,400,False,active,400,2020-07-29 21:20:00+00:00,True,11,,,2020-07-29 22:30:10,2020
289,0,True,0,0,1,True,401,False,active,401,2020-07-29 20:53:44+00:00,True,14,,,2020-07-29 22:30:10,2020
290,0,True,0,0,12,True,402,False,active,402,2020-07-29 22:15:12+00:00,True,3,,,2020-07-29 22:30:10,2020
291,0,True,0,0,10,True,403,False,active,403,2020-07-29 22:22:43+00:00,True,5,,,2020-07-29 22:30:10,2020
292,0,True,0,0,12,True,404,False,active,404,2020-07-29 22:25:16+00:00,True,4,,,2020-07-29 22:30:10,2020
293,0,True,0,1,7,True,405,False,active,405,2020-07-29 22:25:16+00:00,True,11,,,2020-07-29 22:30:10,2020
294,0,True,0,1,12,True,406,False,active,406,2020-07-29 21:52:23+00:00,True,2,,,2020-07-29 22:30:10,2020
295,0,True,0,0,15,True,407,False,active,407,2020-07-29 22:23:58+00:00,True,4,,,2020-07-29 22:30:10,2020
296,0,True,0,0,7,True,408,False,active,408,2020-07-29 21:50:28+00:00,True,8,,,2020-07-29 22:30:10,2020
297,0,True,0,0,13,True,409,False,active,409,2020-07-29 22:28:50+00:00,True,6,,,2020-07-29 22:30:10,2020
298,0,True,0,2,2,True,410,False,active,410,2020-07-29 21:53:19+00:00,True,15,,,2020-07-29 22:30:10,2020
299,0,True,0,2,0,True,411,False,active,411,2020-07-29 21:56:06+00:00,True,13,,,2020-07-29 22:30:10,2020
300,0,True,0,0,9,True,412,False,active,412,2020-07-29 22:24:23+00:00,True,10,,,2020-07-29 22:30:10,2020
301,0,True,0,1,2,True,413,False,active,413,2020-07-29 22:26:19+00:00,True,16,,,2020-07-29 22:30:10,2020
302,0,True,0,0,19,True,414,False,active,414,2020-07-29 22:08:27+00:00,True,4,,,2020-07-29 22:30:10,2020
303,0,True,0,1,18,True,415,False,active,415,2020-07-29 22:06:03+00:00,True,0,,,2020-07-29 22:30:10,2020
304,0,True,0,0,5,True,416,False,active,416,2020-07-29 22:26:53+00:00,True,10,,,2020-07-29 22:30:10,2020
305,0,True,0,1,9,True,417,False,active,417,2020-07-29 22:28:13+00:00,True,9,,,2020-07-29 22:30:10,2020
306,0,True,0,0,3,True,419,False,active,419,2020-07-29 21:23:41+00:00,True,12,,,2020-07-29 22:30:10,2020
307,0,False,0,0,0,False,420,False,out_of_service,420,1970-01-02 00:00:00+00:00,False,0,,,2020-07-29 22:30:10,1970
308,0,True,0,1,9,True,421,False,active,421,2020-07-29 14:32:21+00:00,True,9,,,2020-07-29 22:30:10,2020
309,0,True,0,0,1,True,422,False,active,422,2020-07-29 15:13:37+00:00,True,14,,,2020-07-29 22:30:10,2020
310,0,True,0,0,10,True,423,False,active,423,2020-07-29 19:04:10+00:00,True,9,,,2020-07-29 22:30:10,2020
311,0,True,0,1,15,True,424,False,active,424,2020-07-29 21:41:30+00:00,True,3,,,2020-07-29 22:30:10,2020
312,0,True,0,0,13,True,425,False,active,425,2020-07-29 21:59:19+00:00,True,3,,,2020-07-29 22:30:10,2020
313,0,True,0,0,19,True,426,False,active,426,2020-07-29 22:18:32+00:00,True,8,,,2020-07-29 22:30:10,2020
314,0,True,0,0,11,True,427,False,active,427,2020-07-29 10:20:22+00:00,True,8,,,2020-07-29 22:30:10,2020
315,0,True,0,0,10,True,428,False,active,428,2020-07-29 22:30:02+00:00,True,9,,,2020-07-29 22:30:10,2020
316,0,True,0,0,4,True,430,False,active,430,2020-07-29 19:39:05+00:00,True,15,,,2020-07-29 22:30:10,2020
317,0,True,0,1,14,True,431,False,active,431,2020-07-29 19:06:58+00:00,True,0,,,2020-07-29 22:30:10,2020
318,0,True,0,0,13,True,432,False,active,432,2020-07-29 22:08:43+00:00,True,6,,,2020-07-29 22:30:10,2020
319,0,True,0,1,18,True,433,False,active,433,2020-07-29 13:58:30+00:00,True,0,,,2020-07-29 22:30:10,2020
320,0,True,0,1,10,True,434,False,active,434,2020-07-29 21:07:27+00:00,True,8,,,2020-07-29 22:30:10,2020
321,0,True,0,2,3,True,435,False,active,435,2020-07-29 22:08:11+00:00,True,10,,,2020-07-29 22:30:10,2020
322,0,True,0,0,12,True,436,False,active,436,2020-07-29 21:43:10+00:00,True,3,,,2020-07-29 22:30:10,2020
323,0,True,0,0,10,True,437,False,active,437,2020-07-29 22:20:31+00:00,True,9,,,2020-07-29 22:30:10,2020
324,0,True,0,0,13,True,440,False,active,440,2020-07-29 21:10:36+00:00,True,4,,,2020-07-29 22:30:10,2020
325,0,True,0,0,2,True,441,False,active,441,2020-07-29 22:17:14+00:00,True,17,,,2020-07-29 22:30:10,2020
326,0,True,0,0,11,True,442,False,active,442,2020-07-29 21:58:09+00:00,True,4,,,2020-07-29 22:30:10,2020
327,0,True,0,0,13,True,443,False,active,443,2020-07-29 18:44:06+00:00,True,6,,,2020-07-29 22:30:10,2020
328,0,True,0,0,8,True,445,False,active,445,2020-07-29 22:04:17+00:00,True,11,,,2020-07-29 22:30:10,2020
329,0,True,0,0,8,True,446,False,active,446,2020-07-29 21:49:13+00:00,True,4,,,2020-07-29 22:30:10,2020
330,0,True,0,0,17,True,447,False,active,447,2020-07-29 22:14:49+00:00,True,2,,,2020-07-29 22:30:10,2020
331,0,True,0,0,7,True,448,False,active,448,2020-07-29 14:20:33+00:00,True,4,,,2020-07-29 22:30:10,2020
332,0,True,0,0,0,True,449,False,out_of_service,449,1970-01-02 00:00:00+00:00,False,0,,,2020-07-29 22:30:10,1970
333,0,True,0,0,14,True,450,False,active,450,2020-07-29 22:18:02+00:00,True,1,,,2020-07-29 22:30:10,2020
334,0,True,0,0,11,True,451,False,active,451,2020-07-29 21:07:03+00:00,True,4,,,2020-07-29 22:30:10,2020
335,0,True,0,0,8,True,452,False,active,452,2020-07-29 22:19:53+00:00,True,7,,,2020-07-29 22:30:10,2020
336,0,True,0,0,14,True,453,False,active,453,2020-07-29 22:23:18+00:00,True,1,,,2020-07-29 22:30:10,2020
337,0,True,0,0,14,True,454,False,active,454,2020-07-29 22:27:04+00:00,True,1,,,2020-07-29 22:30:10,2020
